cluster_number,best_k_value
905,1
1894,1
1396,1
254,1
1062,1
54,222
607,18
725,7
1308,1
932,1
1815,6
13,43
820,1
505,5
75,1
1973,1
353,10
1767,1
1315,9
706,238
130,122
1045,1
861,1
69,1
823,1
1184,62
1239,1
870,1
934,25
1297,1
1983,1
25,10
1188,4
852,12
51,74
543,1
1209,82
1214,31
45,1
1249,5
2005,1
175,3
1452,1
513,1
146,3
961,5
1556,27
926,1
273,3
1162,8
1242,1
1415,1
920,1
208,1
1865,1
842,1
389,1
494,1
770,17
766,1
222,38
376,6
1418,1
1883,1
1163,1
452,1
15,10
1744,1
1555,4
876,7
666,1
940,1
918,1
121,1
909,10
1218,1
1399,1
669,1
2134,1
844,1
831,11
467,133
1596,1
1683,1
2096,1
749,1
1827,1
243,1
518,4
1528,1
1651,3
233,1
128,1
119,1
1003,164
1413,1
829,13
260,1
594,5
817,1
414,1
1371,1
1233,1
1580,4
1010,1
1687,1
1236,1
292,1
1480,206
1611,5
164,1
1772,1
623,1
744,16
792,1
1422,3
290,1
1377,1
614,18
1625,1
1215,1
1149,1
647,1
1751,1
1044,6
206,1
1618,1
930,5
1535,27
360,59
207,1
1369,3
1069,1
1039,1
1254,1
1269,1
1850,1
1893,1
520,11
1385,1
1786,1
401,1
238,1
1151,1
1304,1
1789,5
1543,5
1541,1
60,1
1782,3
1558,1
1721,1
579,3
1629,1
1262,1
738,23
1334,1
1368,11
1189,18
1845,1
600,1
847,12
1749,1
970,1
826,4
2080,1
1878,1
1266,1
871,1
173,10
922,1
1487,9
1089,1
381,1
162,102
1356,1
834,1
2063,1
906,1
882,52
891,3
1784,1
1181,6
1518,8
1187,26
1504,1
1203,26
193,1
1764,1
52,64
1885,11
232,37
1035,1
857,20
2007,1
1199,9
143,1
907,1
1128,1
329,1
1253,1
1552,12
355,14
2040,1
1234,8
43,36
1431,1
1419,4
1171,1
16,38
969,1
759,20
9,414
1688,15
229,1
93,1
1705,1
281,4
1365,3
47,1
1073,1
1210,5
1150,7
1190,30
919,5
994,1
1641,1
1476,2
1777,1
2009,1
1347,5
733,26
1529,233
755,90
1336,15
402,27
1275,6
1067,1
1364,1
94,1
470,1
1051,17
956,1
1503,42
1376,3
1479,13
263,1
1185,27
1279,11
36,1
117,5
1631,1
729,28
312,1
1478,1
495,1
682,41
864,1
1512,1
171,1
133,1
300,7
1525,14
892,14
772,29
581,8
983,1
1736,1
1486,1
488,1
134,1
2025,1
1108,1
1086,3
1630,1
399,4
1294,1
477,114
1640,1
855,1
284,7
2039,1
1676,1
367,1
1726,1
84,1
10,503
1002,1
2050,1
1851,1
1589,1
2068,4
963,1
959,1
1186,55
2064,3
361,1
1835,1
735,5
1505,3
719,5
1121,4
1783,1
1837,1
951,1
1523,5
903,1
2055,1
1243,1
774,67
1360,1
974,1
249,1
1601,12
1004,1
1179,1
1714,1
2079,1
1076,1
896,5
496,3
1170,16
475,1
1562,1
715,1
139,4
1229,1
73,1
1644,1
1931,1
825,9
1491,3
1811,1
1807,1
2013,12
1493,1
788,1
1648,1
63,1
698,8
1251,1
1732,1
189,1
530,1
182,10
1842,1
741,3
835,1
1849,3
763,11
745,20
1374,1
795,13
946,5
217,4
1240,1
873,1
886,12
1719,2
609,3
398,1
264,1
1635,1
1667,1
1265,1
1129,21
840,10
1768,1
843,17
1379,1
742,25
1211,1
1975,1
1906,1
1484,93
1158,8
7,17
1796,1
1152,1
1600,10
574,21
1291,1
1248,15
793,29
1650,5
187,3
545,6
584,1
804,8
107,41
884,2
1514,1
1996,1
1689,1
2072,1
1967,1
1570,1
730,26
85,1
531,1
89,1
881,4
308,48
2021,4
2083,1
938,1
1274,1
1593,3
978,34
1030,1
198,135
1394,10
827,1
1946,1
1144,1
1220,1
798,36
859,3
856,1
334,11
1124,1
190,1
1257,1
1520,6
1425,1
191,1
215,5
338,12
1216,3
111,5
1526,41
1258,10
110,1
194,15
177,14
875,11
737,6
406,9
996,1
253,91
39,1
1707,1
1148,23
818,1
769,1
1205,1
256,8
1773,1
901,2
268,8
1820,5
2056,1
1381,1
1652,3
858,4
1548,1
910,1
280,1
1384,1
883,1
1675,4
219,57
775,1
783,8
985,15
415,35
2035,1
1173,1
512,4
1289,1
1259,1
1450,1
776,1
917,2
837,7
960,3
887,1
1177,6
900,1
987,3
821,13
683,1
1583,1
57,1
617,1
731,88
958,9
24,16
1256,1
786,1
68,30
637,1
718,6
1012,1
1178,1
154,1
188,78
380,1
1553,1
2029,1
226,4
1987,1
1290,1
2033,7
278,1
841,16
868,8
1312,1
878,1
1260,1
1225,1
1001,70
363,9
163,28
174,1
1502,1
67,1
800,1
1268,1
455,5
762,42
1756,1
346,1
104,1
1613,1
1013,1
310,114
71,34
1366,1
569,4
899,7
957,1
1808,1
1222,5
0,295
2130,1
1806,1
655,1
1639,1
1204,5
734,24
1020,1
1568,1
1202,9
20,24
147,20
1292,16
483,36
2127,1
1065,1
832,7
123,1
1226,1
941,23
1382,1
810,21
58,35
291,1
425,21
1871,3
860,16
144,1
595,1
1507,1
136,14
1546,1
1494,1
386,4
1325,3
1057,1
751,5
118,69
1757,1
824,40
1351,1
1995,3
869,1
1252,1
2065,1
962,24
1083,1
44,58
608,1
711,1
1115,269
1855,5
1019,1
6,1
1718,6
1462,1
50,111
785,1
1605,1
1741,4
1034,5
724,5
324,15
1814,3
343,1
1859,3
1305,1
948,1
65,30
1123,1
165,1
778,5
109,368
1409,8
38,286
720,22
1825,3
404,1
1532,3
431,1
1183,2
694,95
1521,1
64,30
2081,1
1656,3
976,1
1998,3
1157,5
313,1
866,10
493,3
242,1
1481,1
789,8
879,1
416,1
1175,51
248,13
439,24
1622,1
1154,1
1547,7
977,1
1624,3
1196,1
1495,34
159,1
61,1
529,6
1986,3
1318,2
1237,1
894,3
1999,1
70,61
1809,1
1340,1
1606,1
17,20
1459,3
1524,1
1468,1
1,742
796,1
1740,1
805,10
757,24
357,15
935,1
286,38
993,1
1672,1
438,22
740,19
597,1
1527,1
1557,2
2010,1
767,18
836,10
572,5
1602,1
1482,310
964,1
1696,1
366,1
1592,5
750,5
132,6
33,5
122,3
1654,1
2052,1
1024,1
1590,11
1231,1
748,1
1407,1
1270,1
1826,1
924,1
66,18
1539,1
846,1
1616,1
18,49
690,1
1966,1
1088,3
1619,18
1250,1
1197,33
2001,1
991,7
1068,1
779,34
1574,1
23,33
1160,7
1771,1
1328,1
925,1
1693,1
1344,1
1668,1
784,2
1167,71
675,47
1573,16
758,1
279,1
1326,7
1485,1
904,16
1224,9
161,24
4,137
1702,1
630,1
99,1
201,7
129,1
160,448
114,27
1164,50
1046,17
315,3
1614,1
980,1
1281,45
722,5
379,6
192,1
337,1
1710,1
1426,1
1168,4
37,8
258,1
1169,50
839,2
760,89
885,17
927,1
2031,1
1264,1
1200,1
1681,1
1997,1
158,1
101,19
1537,1
1320,4
1273,1
2061,1
1296,1
113,90
1280,1
546,16
1594,1
819,813
933,1
299,1
523,1
31,9
1706,5
673,4
48,8
72,20
1075,1
391,1
761,10
1391,1
1332,1
670,7
642,1
877,1
1156,5
727,1
29,11
1591,1
1143,5
245,6
1513,1
1373,1
1311,1
953,10
739,15
809,1
1094,1
304,9
1349,1
632,24
1161,12
556,1
1969,1
223,5
1283,29
814,1
743,25
851,2
1665,1
672,3
1701,1
1621,1
1201,11
753,1
1232,1
1795,1
1437,1
77,9
1517,7
1207,1
5,1
1655,1
1235,1
1993,1
610,6
1673,4
1729,4
1342,4
1649,5
1587,1
1324,51
1735,1
2018,5
1330,1
754,18
98,437
997,1
773,7
1309,2
1221,1
794,1
736,17
1703,1
1029,7
1314,1
965,1
1180,1
1387,1
799,1
216,1
1370,1
210,1
1670,1
721,4
244,20
199,1
527,1
1460,5
261,32
1093,1
912,1
801,2
850,1
166,1
1049,1
1950,3
782,1
1727,4
1174,1
120,1
1206,1
1709,26
1522,1
802,1
1155,10
255,1
768,11
1690,1
797,9
49,9
548,1
604,170
893,8
1609,1
108,1
267,30
86,1
1542,1
326,1
298,1
32,1
1582,1
1509,4
91,25
35,1
1430,1
990,1
1742,1
1585,5
816,5
1389,1
236,1
1352,27
1455,9
981,3
156,1
615,3
1018,44
172,9
1595,1
1008,1
178,1
362,1
422,1
674,1
986,1
126,1
1400,1
170,1
1432,3
787,12
141,1
461,1
528,1
504,7
27,1
880,5
1159,1
535,20
1544,6
1982,1
230,1
2012,3
53,226
2030,1
1489,1
806,11
1433,1
446,3
115,1
808,1
1042,1
1531,1
212,12
2104,1
1545,1
613,1
874,1
112,205
1510,1
1769,1
8,52
1165,1
1944,2
1506,1
1604,4
1172,1
812,1
2027,1
225,1
1902,1
561,1
1554,1
867,1
849,1
828,44
1477,21
1427,7
838,1
747,16
1350,1
1345,3
1765,1
790,5
409,18
140,112
911,1
803,47
387,28
1341,1
423,1
1263,7
124,9
92,36
1066,1
728,35
341,1
55,543
550,1
807,1
895,1
131,101
257,1
699,1
80,40
1192,1
780,1
1498,4
479,1
1637,1
1006,1
1439,1
845,1
62,11
1005,1
1238,1
1313,1
1208,20
865,1
971,1
709,1
1453,1
1302,1
1026,6
1586,1
1597,1
732,112
1799,6
1563,1
1488,10
1612,1
200,1
1015,1
923,4
1901,16
1282,1
771,12
1519,3
2037,1
167,10
1567,1
815,13
83,28
46,1
1989,1
1333,1
34,5
1534,26
1099,3
1217,1
897,1
1116,8
14,37
764,20
1905,1
321,39
1551,1
1079,1
