,File_Name,Cluster_Label_A,Cluster_Label_B,File_Path,best_k_value
0,Trojan.Win32.Bublik.elhu-0cbefd9fa36902937cb5e57f8b7fb1a476498c6dd4fc0fcdee2bfbba5b0e9bce,1,312,datacopy/evasive-it/2022/Trojan.Win32.Bublik.elhu-0cbefd9fa36902937cb5e57f8b7fb1a476498c6dd4fc0fcdee2bfbba5b0e9bce,"[1, 24]"
1,bb37698253ee83d6e0d88995e573a81a488b12901d33b24e2a59a54296dcac55,1,312,datacopy/evasive-it/2019/bb37698253ee83d6e0d88995e573a81a488b12901d33b24e2a59a54296dcac55,"[1, 24]"
2,863e99be3f02de4e0020b8db34e34f15cdb4bc34.bin,1,161,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/6/3/863e99be3f02de4e0020b8db34e34f15cdb4bc34.bin,"[1, 24]"
3,HEUR-Worm.Win32.Pluto.gen-8b86e05a29d3f5baf4e579364eb42f96746366bd1fab0435272f6b619be880d1,2,1459,datacopy/evasive-it/2022/HEUR-Worm.Win32.Pluto.gen-8b86e05a29d3f5baf4e579364eb42f96746366bd1fab0435272f6b619be880d1,[3]
4,0446c62360dc6624848a1482d3afbcc2d1febe0eab988cc40c523a39900ff7c9,2,1459,datacopy/evasive-it/2019/0446c62360dc6624848a1482d3afbcc2d1febe0eab988cc40c523a39900ff7c9,[3]
5,0aac654bbbc74f1b65d7aa9b15760209cabf08b4370b81eab536b4682a9d3f72,2,1459,datacopy/evasive-it/2019/0aac654bbbc74f1b65d7aa9b15760209cabf08b4370b81eab536b4682a9d3f72,[3]
6,401f1311820e9643f55a2a0de84bd122c7180575b8fde9a32a1977da8922816e,2,1459,datacopy/evasive-it/2018/401f1311820e9643f55a2a0de84bd122c7180575b8fde9a32a1977da8922816e,[3]
7,885715aa5186f9a28bd95ac5b94580b44f21b530.bin,5,1513,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/8/5/885715aa5186f9a28bd95ac5b94580b44f21b530.bin,"[1, 3]"
8,8aa10c692b2fdd29d545cb3a0e58162dd0fcefaa.bin,5,1513,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/a/a/8aa10c692b2fdd29d545cb3a0e58162dd0fcefaa.bin,"[1, 3]"
9,ab9b8afdf42f06674621b4e2f20c532f42b014c9.bin,5,1532,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/9/ab9b8afdf42f06674621b4e2f20c532f42b014c9.bin,"[1, 3]"
10,2830c2ab3e61acf7771a25889aa839c7eb85fbe7.bin,5,1532,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/2/8/3/2830c2ab3e61acf7771a25889aa839c7eb85fbe7.bin,"[1, 3]"
11,5b9ad5f7e2b96c1cc26014b37f499d3bdba34422.bin,5,1513,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/5/b/9/5b9ad5f7e2b96c1cc26014b37f499d3bdba34422.bin,"[1, 3]"
12,4cb02f6f0144bcc7c534e729d7df760cc3eefb21.bin,5,1532,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/4/c/b/4cb02f6f0144bcc7c534e729d7df760cc3eefb21.bin,"[1, 3]"
13,8b7e5f903ca7805f35124d1a2bdeb2766361ad58.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/b/7/8b7e5f903ca7805f35124d1a2bdeb2766361ad58.bin,"[2, 1, 1, 7]"
