,File_Name,Cluster_Label_A,Cluster_Label_B,File_Path,best_k_value
0,HEUR-Worm.Win32.Pluto.gen-8b86e05a29d3f5baf4e579364eb42f96746366bd1fab0435272f6b619be880d1,1,1459,datacopy/evasive-it/2022/HEUR-Worm.Win32.Pluto.gen-8b86e05a29d3f5baf4e579364eb42f96746366bd1fab0435272f6b619be880d1,3
1,0446c62360dc6624848a1482d3afbcc2d1febe0eab988cc40c523a39900ff7c9,1,1459,datacopy/evasive-it/2019/0446c62360dc6624848a1482d3afbcc2d1febe0eab988cc40c523a39900ff7c9,3
2,0aac654bbbc74f1b65d7aa9b15760209cabf08b4370b81eab536b4682a9d3f72,1,1459,datacopy/evasive-it/2019/0aac654bbbc74f1b65d7aa9b15760209cabf08b4370b81eab536b4682a9d3f72,3
3,401f1311820e9643f55a2a0de84bd122c7180575b8fde9a32a1977da8922816e,1,1459,datacopy/evasive-it/2018/401f1311820e9643f55a2a0de84bd122c7180575b8fde9a32a1977da8922816e,3
4,Trojan.Win32.Bublik.elhu-0cbefd9fa36902937cb5e57f8b7fb1a476498c6dd4fc0fcdee2bfbba5b0e9bce,2,312,datacopy/evasive-it/2022/Trojan.Win32.Bublik.elhu-0cbefd9fa36902937cb5e57f8b7fb1a476498c6dd4fc0fcdee2bfbba5b0e9bce,1
5,bb37698253ee83d6e0d88995e573a81a488b12901d33b24e2a59a54296dcac55,2,312,datacopy/evasive-it/2019/bb37698253ee83d6e0d88995e573a81a488b12901d33b24e2a59a54296dcac55,1
6,42f37e99d881d259151825dde0c53ee9a92fc100be83170c55ad203a5292fa32,4,1476,datacopy/evasive-it/2018/42f37e99d881d259151825dde0c53ee9a92fc100be83170c55ad203a5292fa32,9
7,0fb2d68700e9810079b05af555542765aaf0ea5e.bin,4,1476,datacopy/UCSB/0fb2d68700e9810079b05af555542765aaf0ea5e.bin,9
8,f5d95d1b2ae080cdf0a3b28d881d3f53aa79c100.bin,4,1476,datacopy/UCSB/f5d95d1b2ae080cdf0a3b28d881d3f53aa79c100.bin,9
9,44a4968f9148143cff3e5aaafbb663d3038ae580.bin,4,1476,datacopy/UCSB/44a4968f9148143cff3e5aaafbb663d3038ae580.bin,9
10,9e3520a7a2174b43450d277e1cf1d37c1f69674a.bin,4,1476,datacopy/UCSB/9e3520a7a2174b43450d277e1cf1d37c1f69674a.bin,9
11,ba792d3f1dd0e3bdf461d07edd3eaba09d0aeae9.bin,4,1476,datacopy/UCSB/ba792d3f1dd0e3bdf461d07edd3eaba09d0aeae9.bin,9
12,b8325a2d6bdf50f570f4ea18748f25362555e661.bin,4,1476,datacopy/UCSB/b8325a2d6bdf50f570f4ea18748f25362555e661.bin,9
13,cbc0b484a1faea65c4c6d1509c357a7fdb31213c.bin,4,406,datacopy/UCSB/cbc0b484a1faea65c4c6d1509c357a7fdb31213c.bin,9
14,57e2e8ba52a531d607a89baf737ba265ef76664a.bin,4,406,datacopy/UCSB/57e2e8ba52a531d607a89baf737ba265ef76664a.bin,9
15,2379689c173ed5091ddaf1036be164ec4b0a2cf4.bin,4,1476,datacopy/UCSB/2379689c173ed5091ddaf1036be164ec4b0a2cf4.bin,9
16,e396d761c2dc123d612241f16a8fa7554b11d7a0.bin,4,1476,datacopy/UCSB/e396d761c2dc123d612241f16a8fa7554b11d7a0.bin,9
17,4b2d73969be87b5e875f4c1e1bafb52e0aadc789.bin,4,1476,datacopy/UCSB/4b2d73969be87b5e875f4c1e1bafb52e0aadc789.bin,9
18,39fe3afbf52cabc68ae4c07903287409d9e03cb2.bin,4,1476,datacopy/UCSB/39fe3afbf52cabc68ae4c07903287409d9e03cb2.bin,9
19,4faf48e2c0d9836cc1dd7d08451ac0799d69e0d4.bin,4,406,datacopy/UCSB/4faf48e2c0d9836cc1dd7d08451ac0799d69e0d4.bin,9
20,3d2ae575fb7c6599fa45687209feb8c92c67ef08.bin,4,1476,datacopy/UCSB/3d2ae575fb7c6599fa45687209feb8c92c67ef08.bin,9
21,d4f7a97f8fc34e812ef613bb316bbd6d2c7c1fa6.bin,4,1476,datacopy/UCSB/d4f7a97f8fc34e812ef613bb316bbd6d2c7c1fa6.bin,9
22,cfb3a2d9fcb5dac66739e0621bae4037c555fb4b.bin,4,406,datacopy/UCSB/cfb3a2d9fcb5dac66739e0621bae4037c555fb4b.bin,9
23,6857b01b5587b789bd51b1a6eda2ade3adb5da07.bin,4,1476,datacopy/UCSB/6857b01b5587b789bd51b1a6eda2ade3adb5da07.bin,9
24,20e57740042a71beb2fab6ace125af011d937205.bin,4,1476,datacopy/UCSB/20e57740042a71beb2fab6ace125af011d937205.bin,9
25,cfea46b95dba2ede4fec4e56ee882e3d075959eb.bin,4,1476,datacopy/UCSB/cfea46b95dba2ede4fec4e56ee882e3d075959eb.bin,9
26,6a114809e810c6f90eb3767f7dfbe2cb63637638.bin,4,1476,datacopy/UCSB/6a114809e810c6f90eb3767f7dfbe2cb63637638.bin,9
27,2a4013be31ad5feabc523158b3e89bedf7fec8f8.bin,4,1476,datacopy/UCSB/2a4013be31ad5feabc523158b3e89bedf7fec8f8.bin,9
